category_id,category_name,parent_category_id,full_path
114,TripodLegs,108,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs
115,"Printers,Inks&Accessories",1,"Computers&Accessories|Printers,Inks&Accessories"
116,"Inks,Toners&Cartridges",115,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges"
117,InkjetInkCartridges,116,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges"
118,Keyboard&MiceAccessories,81,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories"
119,DustCovers,118,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers"
120,PCGamingPeripherals,2,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals
121,GamingMice,120,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice
122,PaintingMaterials,100,Home&Kitchen|CraftMaterials|PaintingMaterials
123,Paints,122,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints
124,MousePads,118,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads"
125,HardDiskBags,2,Computers&Accessories|Accessories&Peripherals|HardDiskBags
126,Flashes,105,Electronics|Cameras&Photography|Flashes
127,Macro&RinglightFlashes,126,Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes
128,Routers,6,Computers&Accessories|NetworkingDevices|Routers
129,Over-Ear,51,"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear"
130,BluetoothSpeakers,35,Electronics|HomeAudio|Speakers|BluetoothSpeakers
131,"Notebooks,WritingPads&Diaries",95,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries"
132,WireboundNotebooks,131,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks"
133,RechargeableBatteries,90,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries
134,BluetoothAdapters,7,Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters
135,Adapters,2,Computers&Accessories|Accessories&Peripherals|Adapters
136,USBtoUSBAdapters,135,Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters
137,CompleteTripodUnits,108,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits
138,Notepads&MemoBooks,131,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks"
139,Film,107,Electronics|Cameras&Photography|Accessories|Film
140,Monitors,1,Computers&Accessories|Monitors
141,USBGadgets,2,Computers&Accessories|Accessories&Peripherals|USBGadgets
142,Lamps,141,Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps
143,Cleaners,107,Electronics|Cameras&Photography|Accessories|Cleaners
144,CleaningKits,143,Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits
145,SecurityCameras,105,Electronics|Cameras&Photography|SecurityCameras
146,DomeCameras,145,Electronics|Cameras&Photography|SecurityCameras|DomeCameras
147,TabletAccessories,2,Computers&Accessories|Accessories&Peripherals|TabletAccessories
148,ScreenProtectors,147,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors
149,Gamepads,120,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads
150,Basic,111,OfficeProducts|OfficeElectronics|Calculators|Basic
151,USBHubs,2,Computers&Accessories|Accessories&Peripherals|USBHubs
152,Audio&VideoAccessories,2,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories
153,PCMicrophones,152,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones
154,OutdoorSpeakers,35,Electronics|HomeAudio|Speakers|OutdoorSpeakers
155,Bags&Sleeves,74,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves
156,LaptopSleeves&Slipcases,155,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases
157,ExternalMemoryCardReaders,79,Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders
158,BottledInk,97,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk"
159,CompositionNotebooks,131,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks"
160,RetractableBallpointPens,97,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens"
161,EthernetCables,4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables
162,Components,1,Computers&Accessories|Components
163,Memory,162,Computers&Accessories|Components|Memory
164,UninterruptedPowerSupplies,2,Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies
165,Cases,50,"Electronics|Headphones,Earbuds&Accessories|Cases"
166,SecureDigitalCards,47,Electronics|Accessories|MemoryCards|SecureDigitalCards
167,Flashes&SelfieLights,59,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights
168,SelfieLights,167,Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights
169,Webcams&VoIPEquipment,152,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment
170,Webcams,169,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams
171,CoolingPads,74,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads
172,Stands,147,Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands
173,HomeImprovement,,HomeImprovement
174,Electrical,173,HomeImprovement|Electrical
175,Adapters&Multi-Outlets,174,HomeImprovement|Electrical|Adapters&Multi-Outlets
176,Copy&PrintingPaper,94,OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper
177,ColouredPaper,176,OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper
178,InternalSolidStateDrives,162,Computers&Accessories|Components|InternalSolidStateDrives
179,MultimediaSpeakerSystems,35,Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems
180,DataCards&Dongles,6,Computers&Accessories|NetworkingDevices|DataCards&Dongles
181,LaptopChargers&PowerSupplies,74,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies
182,PCSpeakers,152,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers
183,Batteries&Chargers,107,Electronics|Cameras&Photography|Accessories|Batteries&Chargers
184,BatteryChargers,183,Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers
185,"Bags,Cases&Sleeves",147,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves"
186,Cases,185,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases"
187,StickBallpointPens,97,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens"
188,DrawingMaterials,100,Home&Kitchen|CraftMaterials|DrawingMaterials
189,DrawingMedia,188,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia
190,Pencils,189,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils
191,WoodenPencils,190,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils
192,InternalHardDrives,162,Computers&Accessories|Components|InternalHardDrives
193,Printers,115,"Computers&Accessories|Printers,Inks&Accessories|Printers"
194,Pens,189,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens
195,SATACables,4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables
196,PCHeadsets,152,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets
197,GamingKeyboards,120,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards
198,SoundbarSpeakers,35,Electronics|HomeAudio|Speakers|SoundbarSpeakers
199,Earpads,50,"Electronics|Headphones,Earbuds&Accessories|Earpads"
200,InkjetPrinters,193,"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters"
201,Toys&Games,,Toys&Games
202,Arts&Crafts,201,Toys&Games|Arts&Crafts
203,Drawing&PaintingSupplies,202,Toys&Games|Arts&Crafts|Drawing&PaintingSupplies
